Program,Year,Cost_model,Avg_price,Enrollment,Completion_rate,Dropout_rate,Job_placement_rate,Avg_income_post_training,Training_duration_month,Delivery_mode,Region,Local_job_demand,Remote_job_demand,Total_job_demand,Talent_output,Employed_talent,Unemployed_talent,Total_revenue
3MTT,2022,Paid,255002,577,0.66,0.33,0.74,385447,9,Online,South West,3862,6765,10627,380,281,99,147136154
3MTT,2024,Paid,249646,9684,0.52,0.52,0.49,172263,4,Online,North West,297,5965,6262,5035,2467,2568,2417571864
ALX,2024,Paid,386663,31773,0.47,0.56,0.61,139379,8,Online,South East,2304,2797,5101,14933,9109,5824,12285443499
3MTT,2022,Free,0,32654,0.77,0.18,0.58,112265,6,Online,North East,3012,5437,8449,25143,14582,10561,0
HNG,2022,Paid,260558,6871,0.63,0.38,0.55,362247,6,Online,South East,2991,3956,6947,4328,2380,1948,1790294018
HNG,2024,Paid,332050,40166,0.68,0.34,0.6,151315,11,Hybrid,South West,3305,5007,8312,27312,16387,10925,13337120300
ALX,2024,Subsidized,96077,25438,0.48,0.53,0.55,97368,2,Online,South East,2830,3731,6561,12210,6715,5495,2444006726
3MTT,2025,Free,0,39227,0.73,0.3,0.49,397320,7,Online,South South,3633,3567,7200,28635,14031,14604,0
3MTT,2023,Paid,244790,35060,0.46,0.59,0.72,204085,8,Online,North Central,1954,4221,6175,16127,11611,4516,8582337400
ALX,2024,Paid,430388,12194,0.43,0.55,0.7,93224,4,Online,South East,636,1825,2461,5243,3670,1573,5248151272
ALX,2023,Subsidized,28070,9166,0.77,0.23,0.41,281579,4,Hybrid,North Central,2090,5499,7589,7057,2893,4164,257289620
HNG,2022,Free,0,37648,0.69,0.32,0.31,238768,8,Online,South East,3532,888,4420,25977,8052,17925,0
HNG,2023,Paid,306524,21306,0.7,0.26,0.67,366586,9,Online,South West,2179,2917,5096,14914,9992,4922,6530800344
3MTT,2022,Free,0,42960,0.64,0.37,0.33,144077,4,Online,North East,4389,6845,11234,27494,9073,18421,0
3MTT,2023,Subsidized,58565,26022,0.48,0.49,0.73,382950,4,Hybrid,North East,1581,2101,3682,12490,9117,3373,1523978430
HNG,2025,Free,0,47690,0.89,0.14,0.73,189575,2,Online,North West,2590,6086,8676,42444,30984,11460,0
3MTT,2025,Subsidized,51480,20194,0.68,0.36,0.58,153506,9,Hybrid,South West,2638,4183,6821,13731,7963,5768,1039587120
3MTT,2023,Free,0,21889,0.55,0.49,0.31,334726,2,Online,South South,4342,3895,8237,12038,3731,8307,0
3MTT,2024,Free,0,31919,0.75,0.29,0.61,296586,11,Online,North East,4902,4766,9668,23939,14602,9337,0
ALX,2025,Free,0,34072,0.6,0.41,0.52,218155,4,Hybrid,North East,3001,1587,4588,20443,10630,9813,0
3MTT,2023,Subsidized,39063,2606,0.85,0.18,0.51,115954,2,Hybrid,North Central,2699,4233,6932,2215,1129,1086,101798178
3MTT,2022,Paid,123752,18185,0.82,0.23,0.56,287980,3,Online,South South,174,7181,7355,14911,8350,6561,2250430120
HNG,2025,Free,0,27165,0.69,0.29,0.58,308504,7,Hybrid,South East,1722,7996,9718,18743,10870,7873,0
HNG,2023,Free,0,41260,0.53,0.49,0.43,257900,10,Online,North East,1808,3672,5480,21867,9402,12465,0
HNG,2022,Subsidized,56397,21109,0.48,0.54,0.34,91555,4,Hybrid,South South,248,4050,4298,10132,3444,6688,1190484273
ALX,2025,Free,0,25262,0.55,0.46,0.54,346997,7,Online,North Central,1885,7915,9800,13894,7502,6392,0
ALX,2025,Paid,246922,12612,0.65,0.36,0.47,243993,3,Online,North Central,2443,5336,7779,8197,3852,4345,3114180264
3MTT,2022,Free,0,9630,0.7,0.3,0.34,108145,6,Hybrid,South East,1558,3749,5307,6741,2291,4450,0
HNG,2023,Paid,191748,49582,0.86,0.1,0.78,339568,9,Online,South South,3252,1950,5202,42640,33259,9381,9507249336
3MTT,2023,Subsidized,90855,16396,0.85,0.16,0.65,117641,8,Online,North East,3257,4545,7802,13936,9058,4878,1489658580
ALX,2023,Paid,239892,24570,0.55,0.49,0.79,306006,3,Online,South West,2519,1134,3653,13513,10675,2838,5894146440
ALX,2023,Paid,349321,1114,0.42,0.59,0.42,290017,4,Online,North West,3083,7329,10412,467,196,271,389143594
ALX,2024,Paid,194071,7140,0.67,0.35,0.67,193824,11,Hybrid,South West,3621,510,4131,4783,3204,1579,1385666940
ALX,2023,Subsidized,49430,10496,0.66,0.38,0.7,119974,5,Online,South West,2132,4772,6904,6927,4848,2079,518817280
HNG,2022,Free,0,33539,0.84,0.21,0.68,261144,8,Hybrid,South South,2724,3960,6684,28172,19156,9016,0
ALX,2022,Subsidized,44951,32913,0.83,0.19,0.59,268847,2,Online,South West,2732,4694,7426,27317,16117,11200,1479472263
3MTT,2022,Paid,143001,2328,0.79,0.17,0.51,267710,9,Online,South West,1968,6569,8537,1839,937,902,332906328
3MTT,2024,Paid,490727,49488,0.72,0.29,0.56,382186,3,Online,North East,1036,3000,4036,35631,19953,15678,24285097776
HNG,2024,Subsidized,70948,8745,0.88,0.16,0.76,229369,2,Online,North West,2566,2937,5503,7695,5848,1847,620440260
HNG,2023,Free,0,47819,0.85,0.15,0.61,375804,10,Online,South East,2033,1580,3613,40646,24794,15852,0
HNG,2024,Free,0,46507,0.53,0.43,0.74,168801,11,Online,North Central,1518,1154,2672,24648,18239,6409,0
HNG,2025,Paid,431813,15163,0.75,0.2,0.57,214092,6,Online,North Central,3211,1524,4735,11372,6482,4890,6547580519
HNG,2022,Paid,228322,2091,0.73,0.27,0.73,179616,7,Hybrid,North West,2483,3439,5922,1526,1113,413,477421302
3MTT,2024,Paid,205228,33630,0.52,0.52,0.35,149274,7,Hybrid,South South,656,1025,1681,17487,6120,11367,6901817640
3MTT,2024,Paid,147638,13213,0.46,0.52,0.67,172241,5,Hybrid,South West,688,2212,2900,6077,4071,2006,1950740894
ALX,2023,Free,0,10382,0.89,0.12,0.43,248383,9,Online,North West,1107,5645,6752,9239,3972,5267,0
ALX,2023,Paid,129257,22236,0.88,0.1,0.62,171357,6,Online,South West,1987,4779,6766,19567,12131,7436,2874158652
HNG,2025,Paid,281264,15359,0.43,0.58,0.47,363097,9,Online,North East,2453,7637,10090,6604,3103,3501,4319933776
ALX,2022,Paid,449410,21927,0.78,0.17,0.31,87813,4,Online,North East,3709,3753,7462,17103,5301,11802,9854213070
HNG,2023,Free,0,14788,0.45,0.59,0.56,228554,5,Hybrid,North East,3255,3293,6548,6654,3726,2928,0
ALX,2024,Paid,348656,44913,0.48,0.51,0.77,292943,6,Online,South East,1782,6272,8054,21558,16599,4959,15659186928
3MTT,2024,Paid,238496,13357,0.85,0.12,0.41,106431,2,Online,South East,1909,5590,7499,11353,4654,6699,3185591072
ALX,2025,Subsidized,25776,36944,0.79,0.24,0.72,241779,8,Online,South South,1059,6259,7318,29185,21013,8172,952268544
3MTT,2025,Subsidized,72098,15751,0.8,0.2,0.36,353680,5,Hybrid,North Central,1116,7299,8415,12600,4536,8064,1135615598
ALX,2023,Subsidized,69268,35701,0.8,0.18,0.53,182471,6,Hybrid,South West,4533,1589,6122,28560,15136,13424,2472936868
ALX,2024,Subsidized,46143,6654,0.75,0.29,0.69,372231,7,Online,North Central,2548,6931,9479,4990,3443,1547,307035522
3MTT,2023,Paid,342997,30281,0.51,0.47,0.69,274555,2,Hybrid,North Central,2948,6064,9012,15443,10655,4788,10386292157
3MTT,2023,Free,0,23616,0.44,0.55,0.37,234470,11,Hybrid,North East,4338,3241,7579,10391,3844,6547,0
HNG,2024,Free,0,6590,0.46,0.58,0.6,197832,8,Online,North Central,815,5583,6398,3031,1818,1213,0
HNG,2025,Subsidized,45683,14129,0.71,0.29,0.63,178511,5,Hybrid,North East,121,609,730,10031,6319,3712,645455107
ALX,2024,Paid,252360,30045,0.62,0.4,0.6,190091,10,Online,North West,2269,7514,9783,18627,11176,7451,7582156200
ALX,2023,Free,0,18811,0.84,0.15,0.32,300971,3,Hybrid,North East,761,4844,5605,15801,5056,10745,0
3MTT,2024,Paid,441705,9446,0.74,0.22,0.32,139321,9,Hybrid,South South,4711,2979,7690,6990,2236,4754,4172345430
HNG,2025,Subsidized,24703,7063,0.41,0.58,0.6,369102,3,Hybrid,South West,4490,4209,8699,2895,1737,1158,174477289
ALX,2024,Subsidized,62229,21616,0.51,0.5,0.62,399200,4,Hybrid,South East,4673,5918,10591,11024,6834,4190,1345142064
HNG,2025,Subsidized,69153,33642,0.61,0.35,0.52,176059,9,Online,North Central,3255,329,3584,20521,10670,9851,2326445226
ALX,2023,Free,0,27116,0.6,0.44,0.3,224832,9,Hybrid,South East,4496,7262,11758,16269,4880,11389,0
ALX,2024,Paid,283305,45238,0.62,0.36,0.52,191453,10,Online,South South,2460,775,3235,28047,14584,13463,12816151590
HNG,2025,Free,0,36446,0.77,0.25,0.54,312944,9,Hybrid,South East,1490,1942,3432,28063,15154,12909,0
HNG,2025,Paid,134707,20837,0.89,0.07,0.42,342425,2,Online,North West,4393,2732,7125,18544,7788,10756,2806889759
3MTT,2024,Free,0,30356,0.65,0.3,0.37,328500,3,Hybrid,North West,225,4265,4490,19731,7300,12431,0
3MTT,2023,Free,0,15898,0.63,0.37,0.54,159141,5,Online,South West,4503,5655,10158,10015,5408,4607,0
HNG,2023,Paid,221863,10725,0.49,0.53,0.38,355813,6,Online,South West,1298,4073,5371,5255,1996,3259,2379480675
3MTT,2024,Paid,246649,22973,0.41,0.56,0.72,308071,2,Hybrid,North West,1963,4640,6603,9418,6780,2638,5666267477
HNG,2025,Free,0,36340,0.51,0.51,0.5,238056,11,Hybrid,South East,4133,5305,9438,18533,9266,9267,0
HNG,2024,Free,0,8348,0.9,0.13,0.35,277096,5,Hybrid,South South,3273,4789,8062,7513,2629,4884,0
HNG,2024,Subsidized,56321,8261,0.84,0.14,0.73,345856,9,Hybrid,South West,554,1824,2378,6939,5065,1874,465267781
3MTT,2024,Free,0,28223,0.7,0.31,0.49,242396,10,Online,North Central,835,3768,4603,19756,9680,10076,0
ALX,2025,Subsidized,83449,44798,0.7,0.32,0.61,187522,6,Hybrid,North East,2601,2147,4748,31358,19128,12230,3738348302
3MTT,2022,Subsidized,24760,33279,0.47,0.53,0.42,126819,8,Hybrid,South West,2645,2611,5256,15641,6569,9072,823988040
ALX,2024,Free,0,25096,0.5,0.45,0.62,381454,10,Hybrid,North West,4246,4054,8300,12548,7779,4769,0
3MTT,2022,Subsidized,57650,47381,0.48,0.53,0.56,303725,4,Hybrid,North East,1781,4297,6078,22742,12735,10007,2731514650
3MTT,2022,Subsidized,64139,49213,0.8,0.17,0.45,390512,11,Online,North East,135,5403,5538,39370,17716,21654,3156472607
HNG,2024,Subsidized,41675,5995,0.66,0.3,0.3,276501,7,Online,South West,1343,4176,5519,3956,1186,2770,249841625
HNG,2022,Paid,181929,11117,0.58,0.46,0.68,312601,6,Hybrid,North East,3783,7427,11210,6447,4383,2064,2022504693
ALX,2023,Free,0,645,0.78,0.18,0.51,207556,2,Online,South East,1349,4968,6317,503,256,247,0
ALX,2022,Free,0,42121,0.41,0.6,0.6,365855,11,Online,South West,1200,6852,8052,17269,10361,6908,0
3MTT,2023,Free,0,34037,0.54,0.47,0.64,374054,10,Online,North West,3451,4995,8446,18379,11762,6617,0
HNG,2024,Subsidized,53893,11293,0.85,0.18,0.43,192356,2,Hybrid,North West,172,6991,7163,9599,4127,5472,608613649
3MTT,2024,Subsidized,88008,7204,0.82,0.2,0.33,215327,6,Hybrid,South West,1835,1785,3620,5907,1949,3958,634009632
ALX,2023,Free,0,45613,0.57,0.45,0.8,205541,2,Online,North East,1594,6117,7711,25999,20799,5200,0
HNG,2025,Subsidized,80963,48056,0.49,0.53,0.4,342351,11,Hybrid,South West,732,2302,3034,23547,9418,14129,3890757928
3MTT,2025,Paid,331055,16401,0.52,0.47,0.38,302724,5,Hybrid,South East,2468,485,2953,8528,3240,5288,5429633055
3MTT,2025,Subsidized,76273,26842,0.83,0.18,0.55,89715,3,Online,South West,4676,5982,10658,22278,12252,10026,2047319866
HNG,2022,Subsidized,55585,31182,0.52,0.48,0.71,253757,8,Hybrid,South East,4506,461,4967,16214,11511,4703,1733251470
ALX,2023,Paid,110382,4937,0.68,0.31,0.55,223401,7,Hybrid,South South,1926,3429,5355,3357,1846,1511,544955934
HNG,2023,Subsidized,93861,28995,0.51,0.52,0.46,366370,3,Online,North East,3078,7833,10911,14787,6802,7985,2721499695
HNG,2025,Subsidized,68895,29437,0.81,0.15,0.73,198947,2,Hybrid,South West,337,6724,7061,23843,17405,6438,2028062115
ALX,2024,Free,0,23929,0.47,0.52,0.33,316513,5,Online,South East,4323,3879,8202,11246,3711,7535,0
3MTT,2024,Subsidized,48179,35762,0.72,0.25,0.61,314555,8,Online,North West,2053,7121,9174,25748,15706,10042,1722977398
3MTT,2023,Subsidized,69841,46832,0.71,0.27,0.52,124936,4,Online,North Central,1279,4485,5764,33250,17290,15960,3270793712
HNG,2024,Paid,197359,23791,0.71,0.3,0.41,279900,5,Hybrid,South East,4617,3502,8119,16891,6925,9966,4695367969
HNG,2024,Free,0,32871,0.6,0.42,0.48,368859,7,Hybrid,South South,2745,3916,6661,19722,9466,10256,0
HNG,2024,Subsidized,83037,24782,0.61,0.42,0.59,366166,11,Hybrid,South South,3184,6556,9740,15117,8919,6198,2057822934
HNG,2023,Free,0,16552,0.8,0.25,0.54,215870,6,Hybrid,South South,2657,6027,8684,13241,7150,6091,0
HNG,2025,Subsidized,41223,7894,0.59,0.4,0.53,275113,2,Online,North Central,3291,592,3883,4657,2468,2189,325414362
3MTT,2022,Subsidized,69723,4131,0.53,0.5,0.32,202811,9,Online,South East,814,5054,5868,2189,700,1489,288025713
HNG,2025,Paid,319861,23972,0.71,0.25,0.56,176722,6,Hybrid,South East,2248,1231,3479,17020,9531,7489,7667707892
3MTT,2025,Free,0,29258,0.76,0.2,0.34,181015,2,Online,South East,4427,4097,8524,22236,7560,14676,0
ALX,2023,Paid,301139,45954,0.87,0.16,0.48,172601,6,Online,South West,2137,3623,5760,39979,19189,20790,13838541606
HNG,2023,Paid,178815,39779,0.88,0.1,0.68,207896,10,Hybrid,North East,1062,3832,4894,35005,23803,11202,7113081885
HNG,2025,Subsidized,62600,13004,0.67,0.28,0.78,114964,5,Hybrid,North West,869,2621,3490,8712,6795,1917,814050400
3MTT,2022,Paid,169519,10003,0.71,0.26,0.32,169489,8,Online,North Central,4683,6146,10829,7102,2272,4830,1695698557
HNG,2025,Subsidized,97425,27913,0.54,0.5,0.64,164080,9,Online,North West,1667,5541,7208,15073,9646,5427,2719424025
ALX,2024,Free,0,38143,0.86,0.12,0.68,95997,9,Hybrid,South West,746,4958,5704,32802,22305,10497,0
ALX,2025,Subsidized,78005,21214,0.53,0.47,0.66,224129,6,Online,South East,382,7929,8311,11243,7420,3823,1654798070
ALX,2024,Paid,277558,21067,0.57,0.42,0.68,146912,9,Online,South West,2166,222,2388,12008,8165,3843,5847314386
3MTT,2023,Paid,204555,9996,0.78,0.19,0.53,313103,9,Online,South East,1384,714,2098,7796,4131,3665,2044731780
3MTT,2025,Paid,121727,43315,0.8,0.17,0.58,247807,8,Online,North West,3237,7280,10517,34652,20098,14554,5272605005
3MTT,2022,Subsidized,39033,11305,0.82,0.13,0.67,120372,10,Hybrid,North West,4083,1978,6061,9270,6210,3060,441268065
ALX,2024,Subsidized,32087,24262,0.9,0.09,0.52,187539,11,Hybrid,South West,326,7521,7847,21835,11354,10481,778494794
3MTT,2023,Free,0,13609,0.75,0.2,0.61,184195,10,Online,South East,2420,3390,5810,10206,6225,3981,0
ALX,2025,Free,0,29697,0.76,0.2,0.41,348787,5,Hybrid,South West,2683,361,3044,22569,9253,13316,0
HNG,2023,Paid,294718,29231,0.56,0.45,0.37,122092,11,Hybrid,South South,3074,1067,4141,16369,6056,10313,8614901858
ALX,2025,Free,0,29911,0.46,0.56,0.42,212723,2,Online,South East,2910,1526,4436,13759,5778,7981,0
ALX,2022,Subsidized,95564,12948,0.61,0.4,0.69,295002,7,Online,South West,2271,274,2545,7898,5449,2449,1237362672
ALX,2022,Subsidized,23471,42296,0.49,0.5,0.47,396364,2,Hybrid,South West,2857,4120,6977,20725,9740,10985,992729416
ALX,2022,Paid,123284,18333,0.83,0.14,0.49,350143,6,Hybrid,North Central,803,6604,7407,15216,7455,7761,2260165572
HNG,2023,Subsidized,35078,5605,0.85,0.18,0.3,205736,7,Hybrid,South East,4383,7936,12319,4764,1429,3335,196612190
ALX,2025,Free,0,46103,0.41,0.57,0.32,220629,8,Online,South East,369,831,1200,18902,6048,12854,0
HNG,2025,Subsidized,29833,8396,0.79,0.17,0.54,270135,5,Hybrid,North East,974,5760,6734,6632,3581,3051,250477868
3MTT,2025,Subsidized,50682,32762,0.44,0.53,0.67,146707,9,Online,South South,1549,3937,5486,14415,9658,4757,1660443684
HNG,2022,Free,0,19245,0.89,0.07,0.66,202788,9,Online,North West,470,6176,6646,17128,11304,5824,0
3MTT,2025,Free,0,7088,0.46,0.51,0.41,209350,7,Online,North Central,4788,1887,6675,3260,1336,1924,0
3MTT,2022,Subsidized,91707,23981,0.67,0.36,0.57,339013,7,Hybrid,North Central,3688,1737,5425,16067,9158,6909,2199225567
HNG,2025,Free,0,3637,0.45,0.59,0.53,149286,7,Hybrid,South West,4766,810,5576,1636,867,769,0
ALX,2024,Free,0,38323,0.57,0.47,0.57,89283,5,Hybrid,South South,1849,2875,4724,21844,12451,9393,0
HNG,2024,Free,0,28124,0.68,0.35,0.58,180417,10,Hybrid,South West,4070,2191,6261,19124,11091,8033,0
3MTT,2023,Paid,121253,49063,0.63,0.36,0.35,217924,4,Online,South East,3757,207,3964,30909,10818,20091,5949035939
3MTT,2025,Free,0,7739,0.8,0.19,0.76,380135,3,Hybrid,South East,4663,3725,8388,6191,4705,1486,0
HNG,2024,Paid,373260,758,0.85,0.12,0.55,330870,9,Online,South East,787,3890,4677,644,354,290,282931080
3MTT,2025,Subsidized,31205,6406,0.84,0.19,0.55,134400,8,Online,South South,769,4564,5333,5381,2959,2422,199899230
HNG,2025,Subsidized,87065,26670,0.48,0.47,0.58,319968,5,Online,South East,3169,6988,10157,12801,7424,5377,2322023550
ALX,2022,Free,0,49916,0.81,0.19,0.66,161835,10,Online,North East,3090,5683,8773,40431,26684,13747,0
3MTT,2022,Subsidized,66037,9846,0.84,0.16,0.42,200987,9,Hybrid,South West,1080,1898,2978,8270,3473,4797,650200302
HNG,2022,Paid,244302,29509,0.77,0.25,0.61,217488,6,Hybrid,North West,3009,1130,4139,22721,13859,8862,7209107718
3MTT,2025,Free,0,22933,0.56,0.46,0.33,156229,10,Hybrid,South East,3930,1054,4984,12842,4237,8605,0
